scenario,percentage_gpu,mean_time,std_time
large files 1 large patterns,0,0.44335979999999997,0.010845842049375411
large files 1 large patterns,10,0.4623036,0.033799099873221494
large files 1 large patterns,20,0.45727,0.008407590047094347
large files 1 large patterns,30,0.4423376,0.008427286196635315
large files 1 large patterns,40,0.43865220000000005,0.0030114466556789474
large files 1 large patterns,50,0.4290056,0.008026398958437077
large files 1 large patterns,60,0.4242972,0.00934811119745587
large files 1 large patterns,70,0.4249874,0.005775383263472651
large files 1 large patterns,80,0.4516832,0.048063246400550194
large files 1 large patterns,90,0.4872992,0.007422910060077516
large files 1 large patterns,100,0.4844336,0.004885901619967393
large files 100 small patterns,0,0.5118775999999999,0.017366097173515976
large files 100 small patterns,10,0.467622,0.006218182917862726
large files 100 small patterns,20,0.46044,0.00786132479929432
large files 100 small patterns,30,0.46294260000000004,0.01247213119879678
large files 100 small patterns,40,0.449124,0.009350813076946836
large files 100 small patterns,50,0.44071319999999997,0.005087883387028446
large files 100 small patterns,60,0.4465334,0.011325256316746217
large files 100 small patterns,70,0.4346146,0.009706048312263859
large files 100 small patterns,80,0.424835,0.009513731276423567
large files 100 small patterns,90,0.4220182,0.008184873887849477
large files 100 small patterns,100,0.44223860000000004,0.02531395079871966
small files 10 large patterns,0,0.456087,0.011602594744280256
small files 10 large patterns,10,0.4905974000000001,0.03436490837816974
small files 10 large patterns,20,0.4430009999999999,0.00894951793115137
small files 10 large patterns,30,0.44639059999999997,0.0062787843919026205
small files 10 large patterns,40,0.43017380000000005,0.010476321174916328
small files 10 large patterns,50,0.4494066,0.032967506630620404
small files 10 large patterns,60,0.43814640000000005,0.010555343435435917
small files 10 large patterns,70,0.42592759999999996,0.010298379029730834
small files 10 large patterns,80,0.42687600000000003,0.013499377244895399
small files 10 large patterns,90,0.41879920000000004,0.011845192736296029
small files 10 large patterns,100,0.4289242,0.028836353246553207
small files 1000 small patterns,0,0.44462440000000003,0.017433250902800672
small files 1000 small patterns,10,0.4569604,0.011695018436924328
small files 1000 small patterns,20,0.42227420000000004,0.06935467155253497
small files 1000 small patterns,30,0.45710739999999994,0.012905327172915843
small files 1000 small patterns,40,0.4600092,0.033268597417985636
small files 1000 small patterns,50,0.46273859999999994,0.04015059183922448
small files 1000 small patterns,60,0.44380420000000004,0.006817674043249659
small files 1000 small patterns,70,0.44567480000000004,0.02095222245395461
small files 1000 small patterns,80,0.3878474,0.060217823536225554
small files 1000 small patterns,90,0.41523280000000007,0.012005526300833295
small files 1000 small patterns,100,0.43640460000000003,0.020008129373832034
